Wort,Log-Likelihood (G²),Freq
leutnant,122.89778279905937,139
oberst,76.75932246913518,75
maschine,67.56482609162448,89
jawohl,37.66856844760275,211
sache,37.44793777725424,178
wohnung,35.672883057172974,56
stuhl,32.17035221788457,42
papa,30.100624348125777,73
polizei,29.07723872334956,74
amerikanisch,27.29724209407759,14
keller,24.48386348118524,35
front,24.359486759717974,22
pfund,23.987444061435877,18
sir,20.959085207228807,23
material,19.767667526043034,25
whisky,19.089671590198925,13
überfall,17.54822706047845,9
quittung,17.54822706047845,9
braun,17.218505793983347,19
ehrenwort,17.218505793983347,19
exzellenz,16.762269561182976,95
möbel,15.598424053758622,8
trick,15.5109239186387,11
schießen,15.350673825820817,48
erwischen,15.233283924450618,32
dämlich,15.175187351738803,19
scheiden,14.300188179065788,17
doktor,13.853330294261873,144
alarm,13.743190363583494,10
sicherlich,13.648621047038795,7
